$,App,PC
 9.33 , Infrastructure ,Allocation
 7.01 , ARB Testing ,Allocation
 70.52 , Data Foundations - Data Lake Test ,090949400
" 3,039.18 ", Data Foundations - Data WH Prod ,090949400
" 6,014.80 ", Data Foundations - Data WH - Dev ,090949400
" 2,838.78 ", AUS PowerBi SaaS Scaling with Azure compute ,090949400
 0.00 , Data Foundations - Data - WH - Test ,090949400
 20.88 , EDM ,000005939
 466.51 , SOC - AD Logs ,000018544
 416.91 , SOC - WVD Sessions ,000018544
 21.73 , Messaging Services ,090946800 
 21.71 , Messaging Services ,090946800 
 21.75 , Messaging Services ,090946800 
 696.00 , Data Foundations - Power BI ,090949400
 0.59 , Infrastructure (Messaging) ,090946800 
 246.66 , Chile Power BI ,000005578
" 4,204.63 ", Chile Power BI ,000005578
 0.56 , Chile Power BI ,000005578
 0.00 , SOC - Cloud Security RG ,000018544
 -   , PCF - Confluent ,000010825
 972.25 , Avendra CPS DR -Prod ,300065300
" 13,133.76 ", SOC - WVD Sessions ,000018544
 152.64 , Chile Business Dynamics ,004250448
 0.00 , EDM ,000005939
" 2,096.61 ", EDM ,000005939
 944.75 , EDM ,000005939
 704.62 , EDM ,000005939
 136.29 , EDM CHI ML (WIPRO POC) ,000005939
 0.00 , SAS Initiative ,000005939
 161.19 , Spain CPD Datacenter ,000005578
 543.23 , Spain CPD Datacenter ,000005578
 112.32 , Hoja De Gestion - International Spain ,000005578
 438.50 , Hoja De Gestion - International Spain ,000005578
 21.95 , Hoja De Gestion - International Spain ,000005578
 5.55 , Hoja De Gestion - International Spain ,000005578
 107.33 , Spain CPD Datacenter ,000005578
 3.54 , Spain CPD Datacenter ,000005578
 14.81 , Spain CPD Datacenter ,000005578
 0.03 , Spain CPD Datacenter ,000005578
 52.20 , Spain CPD Datacenter ,000005578
 52.20 , Spain CPD Datacenter ,000005578
 107.20 , Spain CPD Datacenter ,000005578
 330.02 , Spain CPD Datacenter ,000005578
 20.00 , Spain CPD Datacenter ,000005578
 356.83 , Spain CPD Datacenter ,000005578
 29.18 , Spain CPD Datacenter ,000005578
 1.61 , Spain CPD Datacenter ,000005578
 83.81 , Hoja De Gestion - International Spain ,000005578
 262.67 , Hoja De Gestion - International Spain ,000005578
 599.71 , Spain CPD Datacenter ,000005578
 306.38 , Spain CPD Datacenter ,000005578
 38.37 , Spain CPD Datacenter ,000005578
 914.10 , Spain CPD Datacenter ,000005578
 55.77 , Spain CPD Datacenter ,000005578
 23.40 , Spain CPD Datacenter ,000005578
 36.50 , Hoja De Gestion - International Spain ,000005578
 8.36 , Hoja De Gestion - International Spain ,000005578
 115.02 , Hoja De Gestion - International Spain ,000005578
 3.95 , Spain CPD Datacenter ,000005578
 153.18 , Spain CPD Datacenter ,000005578
 687.61 , Hoja De Gestion - International Spain ,000005578
 68.06 , Spain CPD Datacenter ,000005578
 414.74 , Spain CPD Datacenter ,000005578
 40.78 , Spain CPD Datacenter ,000005578
 83.28 , Spain CPD Datacenter ,000005578
 42.94 , Hoja De Gestion - International Spain ,000005578
 140.75 , Spain CPD Datacenter ,000005578
 6.77 , Spain CPD Datacenter ,000005578
 95.27 , Spain CPD Datacenter ,000005578
 52.25 , Spain CPD Datacenter ,000005578
 59.19 , Spain CPD Datacenter ,000005578
 124.64 , Spain CPD Datacenter ,000005578
 94.28 , Hoja De Gestion - International Spain ,000005578
 630.21 , Spain CPD Datacenter ,000005578
 175.15 , Spain CPD Datacenter ,000005578
 25.06 , Hoja De Gestion - International Spain ,000005578
 5.25 , Hoja De Gestion - International Spain ,000005578
 178.64 , Spain CPD Datacenter ,000005578
 405.61 , Spain CPD Datacenter ,000005578
 5.92 , Spain CPD Datacenter ,000005578
 744.13 , Hoja De Gestion - International Spain ,000005578
 34.56 , Spain CPD Datacenter ,000005578
 21.72 , Spain CPD Datacenter ,000005578
 22.04 , Spain CPD Datacenter ,000005578
 388.95 , Spain CPD Datacenter ,000005578
 20.68 , Spain CPD Datacenter ,000005578
 0.00 , OpenAI Testing Chile ,000005939
 0.80 , AUS Customer Portal - Dev ,090949400
 233.87 , EDM Team OpenAI Testing ,000005939
" 1,053.61 ", Facility Fit ,300067000
 15.15 , Hoja De Gestion - International Spain ,000005578
 25.59 , Aramark OPENAI - Dev ,000005939
 341.91 , Culinary Co-Pilot Openai ,000021648
 23.60 , Avendra Ace Application - Dev/QA SourcingBI ,000017318
 196.24 , Sherlok ,300939300
 151.00 , Next Level VDI ,000019933
 407.74 , Avendra Ace Application - Prod ,000017318
 80.17 , Clarity Consultant Access ,600905800
 23.75 , AUS Customer Portal - Prod ,090949400
 65.79 , Destinations Web Sites Servers ,120895100
 149.58 , EnablePlus Storage ,000021002
 62.39 , Hoja De Gestion - International Spain ,000005578
 31.31 , Hoja De Gestion - International Spain ,000005578
 689.87 , Next Level Application ,000019933
 63.78 , Avendra Ace Application - Dev/QA ,000017318
 1.05 , Prima Web Storage ,090922300  
 0.00 , Rackspace Assessment ,Allocation
 978.13 , Sherlok Prod ,300939300
 9.30 , Sentinel Production Deployment ,000018544
 40.14 , Avendra Ace Application - Production SourcingBI ,000017318
 135.33 , SRA Assessment ,090955900 
 32.19 , Hoja De Gestion - International Spain ,000005578
 226.35 , Avendra Matillion Prod ,000017318
 73.53 , EDC AVS DR ,000005578
 20.55 , EDC AVS DR ,000005578
 168.93 , EDC AVS Production ,000005578
 39.08 , EDC AVS Production ,000005578
 0.00 , EDC AVS Production ,000005578
 206.03 , EDC AVS Production ,000005578
 16.38 , EDC AVS Production ,000005578
 831.71 , ecoBPM ,300491200
 134.09 , GFF PROD - Azure DevOps ,000005942
" 2,184.76 ", Identity Management - IIQ ,000010337
" 1,316.67 ", Identity Management - IIQ ,000010337
" 2,016.13 ", Identity Management - IIQ ,000010337
" 4,402.83 ", Identity Management - IIQ ,000010337
 277.27 , Avendra Matillion ,000017318
 791.76 , Marketpro Invoice ,000018187
 784.71 , Marketpro Invoice ,000018187
 507.93 , Marketpro Invoice ,000018187
 13.92 , Marketpro Invoice ,000018187
 0.00 , Marketpro Invoice ,000018187
 9.60 , Marketpro Invoice ,000018187
 6.96 , Marketpro Invoice ,000018187
 6.55 , Marketpro Invoice ,000018187
 10.44 , Marketpro Invoice ,000018187
 0.00 , Marketpro Invoice ,000018187
 74.79 , Marketpro Invoice ,000018187
 228.15 , Marketpro Invoice ,000018187
 51.87 , Marketpro Invoice ,000018187
 8.69 , Marketpro Invoice ,000018187
 267.15 , Marketpro Invoice ,000018187
" 1,396.11 ", Marketpro Invoice ,000018187
 1.01 , Marketpro Invoice ,000018187
 23.31 , Marketpro Invoice ,000018187
 599.89 , Marketpro Invoice ,000018187
 1.01 , Marketpro Invoice ,000018187
 14.39 , Marketpro Invoice ,000018187
 124.26 , Mexico Migration ,090921400
 0.00 , Next Level Migration ,000019933
" 1,793.48 ", O365 Veeam Backups ,090926400
 14.61 , oBundle ,000019197
" 1,492.98 ", Identity Management - Ping ,000010337
 571.27 , Identity Management - Ping ,000010337
 297.94 , Identity Management - Ping ,000010337
 0.00 , Purple Squirrel POC ,Allocation
 285.93 , Eventualas - Chile - Prod ,000005578
 282.51 , Eventualas - Chile - QA ,000005578
 0.00 , Messaging Services ,090946800 
 0.00 , Messaging Services ,090946800 
 0.21 , Messaging Services ,090946800 
 5.53 , Messaging Services ,090946800 
 105.16 , Salesforce -  Azure DevOps ,000009022
 603.13 , SCCM Intune Storage Account ,000018544
 56.05 , Toronto HQ Backups ,004701521
 788.19 , Identity Management - Ping ,000010337
 155.05 , IAM - VDI Sessions ,000010337
 341.44 , SOC - WVD Management ,000018544
 689.98 , SOC - WVD Sessions ,000018544
" 1,372.67 ", Avendra CLP Engine -DEV ,000017318
" 1,270.86 ", Avendra CLP Engine -Prod ,000017318
 365.81 , Avendra CLP Engine -QA ,000017318
" 5,565.30 ", Identity Management - IIQ ,000010337
" 2,020.61 ", Identity Management - IIQ ,000010337
 0.90 , TBD ,Allocation
 0.60 , New TBD ,Allocation
 16.70 , Infrastructure ,Allocation
 0.88 , Infrastructure ,Allocation
 0.00 , Infrastructure ,Allocation
 72.33 , Identity Management - IIQ ,000010337
 0.71 , Infrastructure ,Allocation
 0.00 , Spain CPD Datacenter ,000005578
 0.01 , Infrastructure ,Allocation
 15.37 , Unknown ,Allocation
" 12,254.82 ", Express Route ,000018544
 305.52 , Facilities-Sherlok ,300939300
" 2,282.50 ", Facility Fit ,300067000
" 5,121.51 ", Facility Fit ,300067000
" 3,898.11 ", Facility Fit ,300067000
" 11,410.54 ", Facility Fit ,300067000
 57.72 , GFF PROD - Azure DevOps ,000004982
 8.39 , GFF PROD - Azure DevOps ,000004982
 0.01 , Avendra HPSI Resources ,000017318
 1.28 , Infrastructure ,Allocation
 0.00 , Infrastructure ,Allocation
 0.00 , Infrastructure ,Allocation
 0.00 , Marko Purview POC ,000005939
 16.01 , Infrastructure ,Allocation
 0.00 , Infrastructure ,Allocation
 0.08 , Prima Web POC ,Allocation
 108.36 , Refreshment Data Project ,700936800
 245.69 , OpenAI Testing Chile ,000005939
 1.97 , PCF - FrontLine Enablement ,000010825
 0.00 , SCCM ,Allocation
 385.64 , SharePoint Management VM - Hammad Haidari ,Allocation
 570.34 , SOC Deployment ,000018544
 0.37 , Avendra PLA Storage ,000017318
 -   , Azure Devops Organizations Charges Broken out below ,Allocation
 546.32 , AvendraGroup - AZDO ,000017318
 8.90 , Aramark-IAM - AZDO ,000010337
 59.87 , AramarkEnable - AZDO ,000021002
 152.45 , Aramark-GSC-GPO - AZDO ,000017318
 146.39 , AramarkGOE - AZDO ,090922300  
 22.45 , AramarkFinancialApps - AZDO ,000004982
 269.42 , Aramark-marko - AZDO ,000005939
 174.00 , cpsAvendra - AZDO ,300065300
 11.23 , FacilitiesProjects - AZDO  ,300491200
 5.61 , ARAZDEVOPS - AZDO ,000005578
 36.77 , AramarkMenuManagement - AZDO ,000021648
 80.77 , MarketPRO - AZDO ,000018187
